Trade name,INCI,Other designations,Other preservative trade names,CAS#,Type,Formula layer,Organic formulation,Butter type,Preservative type,Surfactant type 1,Surfactant type 2,Plant part,Process,Scent,Perfume note,Color,Presentation,Appearance,Melting point °C,Viscosity,Density,Saponification value,Acid value,Molecular weight,Description,Composition,Characteristics,Functions,Aroma-psychology - promotes:,Aroma-psychology - counteracts:,Properties/actions,Uses,Type of formulation,Mask usage,Solubility,Solidifies at,Temperature stability,Absorption rate,Iodine value - highest,Iodine value - lowest,Iodine value,pH as supplied,Application pH,Stable within a pH range of,Recommended dosage,Heat sensitive,Formulation tips,Heat and hold,Hazards / Safety data,Shelf life,Storage,Conservation tips,Co-X,Interchangeable with,Use with suggested chelator,Use with following preservatives,Compatibility with other surfactants,Incompatibility,Attention,Docs.,Photo(s),Link #1,Link #2,Studies,Stock,Notes,Alpha-Linolenic Acid avg,Arachidic Acid avg,Arachidonic Acid avg,Behenic Acid avg,Brassic Acid avg,Capric Acid avg,Caproic Acid avg,Caprylic Acid avg,Eicosadienoic Acid avg,Eicosatrienoic Acid avg,Elaidic Acid avg,Eleostearic Acid avg,Erucic Acid avg,Gadoleic/9-Eicosenoic Acid avg,Gamma-Linolenic Acid avg,Gondoic/11-Eicosenoic Acid avg,Lauric Acid avg,Lignoceric/Tetracosanoic Acid avg,Linoleic Acid avg,Myristic Acid avg,Nervonic Acid avg,Oleic Acid avg,Palmitic Acid avg,Palmitoleic Acid avg,Punicic Acid avg,Ricinoleic Acid avg,Stearic Acid avg,Stearidonic Acid avg,Vaccenic Acid avg,Unsaponifiables avg,Oil high in...,Blends well with,Stock origin,Active matter,Clay type,Safety - Therapeutic status,Safety - Skin irritation,Safety - Skin sensitization,Safety - Skin photosensitization,Dryness,Emulsion type,Use with,pH modifier
Sodium Benzoate,Sodium Benzoate,,,,Preservative,Additive,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium bicarbonate,Sodium bicarbonate,,,,pH adjuster,Additive,Accepted,,,,,,,,,White,Solid,,,,,,,,,,,ph modifier,,,,,,,Water,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increases pH
Sodium Lactate,Sodium Lactate,,,,"pH adjuster,Humectant",Functional,Accepted,,,,,,,,,Clear,Liquid,,,,,,,,"1.5 times more effective in its water holding capacity than glycerine.

Sodium lactate is the sodium salt of lactic acid, is a natural humectant and moisturiser and is a part of our own NMF (natural moisturising factor). It is applied in cosmetic formulations for its moisturising functions and to adjust the pH (specially when buffering is needed). In certain cosmetic products, the pH of the product might change with time and this would lead to destabilization of some certain ingredients. This happens very often by applying urea or weak acid based emulsifiers and ingredients (citrate derivatives for example: glyceryl oleate citrate). In such cases you need to stabilize the pH with a buffering system (blending sodium lactate and lactic acid)
Buffered solutions resist changes in pH upon addition of small amount of acids or bases. Our blood for instance is a buffered system and its pH would not easily change.",,"Non-greasy,Photosensitiser","buffering,hardening,humectant,ph modifier",,,"improves barrier properties of the skin,increases skin plasticity,reduces wrinkles,reduction in transepidermal water loss,stimulates ceramide synthesis in the skin","acne-prone skin,dehydrated skin,mature skin",,,Water,,,,,,,,,,0.5-2%,❌,It loses its efficacy when we wash the area it was applied on.,,,,,,,,,,,,,,,,,,☠️ Sodium Lactate / 241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increases pH
Sodium Lauroyl Sarcosinate (liquid),Sodium Lauroyl Sarcosinate,,,,Surfactant,Functional,Accepted,,,Surfactant,Anionic ,,,,,,Liquid,,,,,,,,"A sulfate free alternative for Sodium Lauryl SulfoAcetate

EasyFoam (Sodium Lauroyl Sarcosinate) is a natural, food grade, anionic surfactant derived from the sodium salt of fatty acids and sarcosine amino acids.  EasyFoam is one of the oldest running cleansing agents and has been used in dental hygiene since the original production of toothpaste.  Unlike many others on the market, the Ingredients To Die For EasyFoam (Sodium Lauroyl Sarcosinate) is pure and  a min. 95% active.

Like the Lactylates, EasyFoam is of acyl structure making it ideal for natural cleansing systems where it offers an abundance of soft light foam. 

Offering unsurpassed hair support, and smooth feel on application, this is the surfactant of choice for all of your natural hair cleansers. 

The high water solubility makes this the perfect choice for foaming bath powders, bath bombs, and bath powders or soaks.  When you develop bath bombs with the classic baking soda and citric acid you can take them to the next level by giving them a nice foaming quality with the addition of EasyFoam.  As the bath bomb begins to fizz it will create enough friction to produce the foam taking your fizz bath to a foam bath, and the ultimate bath soak.  This may also be added to bath salts and have them added to running water for foam.  Don't forget, you can also add emollience to your bath bombs and bath powder soaks by adding a small amount of your favorite carrier oil so that you can offer your customer the ultimate foaming, emollient, bath bomb or bath powder soak. 

See our Formulary for basic information on making your own bath soak information and bath bomb starter recipes.

ATTRIBUTES 
Hair
Increased Body
Increased Suppleness
Improved Sheen
Improved Texture
Damage Repair (physical or chemical processing damage)
Skin
Effective but Gentle Cleansing
Won't Strip Moisture
Leaves Skin Feeling Soft
APPLICATIONS
Bath Bombs
Bath Powders
Powder Bath Soaks
Shaving Creams
Bath & Body Wash
Face Wash
Laundry Products
Shampoos",,"Mild,Smooth feel to the hair","foaming booster,thickens acidic ph (5.0-5.5) formulas",,,,,"Shampoo,Foaming bath powders,Bath bombs,Bath powders,Makeup remover",,Water,,,,,,,,,,3-10% for shampoos and bath products; 1-2% for lotions and make-up removers.,❌,,,,,,,,SLSA - Sodium Lauryl Sulfoacetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium PCA,Sodium PCA,,,,Humectant,Functional,Accepted,,,,,,,None,,Clear,Liquid,,,,,,,,"Sodium PCA is a natural moisturizer and humectant and is the sodium salt of PCA which is present at 12% in our own NMF (natural moisturizing factor). PCA is derived from L-Glutamic acid. Na-PCA has a much superior moisturizing efficacy than glycerine .

It is a colourless and odourless aqueous solution and very easy to apply. You can add it to the warm or cold water phase in all hair and skin care products. 
In haircare, it reduces flyaway and static electricity and improves wet combability as well as colour retention after hair dying.",Na-PCA 50% aqueous solution,Photosensitiser,humectant,,,"antistatic,moisturizing",,"Hair care,Skin care",,Water,,,,,,,,,,max. 2%,❌,You can add it to the warm or cold water phase in all hair and skin care products. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Salicylate,Sodium Salicylate,,,,Preservative,Functional,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spearmint EO,Mentha spicata,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,flowering herbs,steam distilled,"Bright,Camphoraceous,Fresh,Minty","Top,Middle",Clear,,,,thin,,,,,"Spearmint is the essential oil that can help you steal little moments of calm back as it gently uplifts with a minty and bright aroma.
Often confused with Peppermint, Spearmint is cooling and more nuanced. 
For thousands of the years, Spearmint’s medicinal and therapeutic properties have been explored. The Ancient Greeks used it to restore the body while adding a lovely fragrance to their bathwater. The flowering herbs are put through a steam distillation process to extract the oil, which can add a minty note to floral essential oil blend. (edens garden)

- Inhaled, it is truly a memoristic anti-depressant. It relieves mental strain and fatigue, cheers you up and tonifies your entire system.
Therapeutically, (...) for remembrance of childhood and a feeling of freeedom and lightness, Spearmint oil is the best. (Jeanne Rose, The Aromatherapy Book)

- A mildly stimulating, memoristic antidepressant; Spearmint is bound to make you happy, relaxed and joyful, hence, “Oil of Joy”. 
(http://www.jeannerose.net/articles/25_essentials.html)
-------------------------------------------------------------
In terms of fragrance energetics, Spearmint is sweet, green, pungent and cool. As applied to the psyche, these qualities signal the potential for promoting emotional stability and renewal. By addressing the sensory-emotional dysregulation caused by deep limbic system hyperfunctioning, Spearmint can be helpful for those unable to let go of distressed feelings and negative emotions. Just as it can treat stagnation in the lungs and the upper digestion, so it can give one the energy to take a fresh look at stuck feelings, emotional conflicts and the like. In so doing, Spearmint by olfaction can help resolve emotional stagnation, reduce emotional confusion or ambivalence, and help the individual move forward in a more positive and conscious direction.
(Peter Holmes, Aromatica, vol. 1)",,"Medium intensity scent,Poor persistence scent",,,"anxiety,conflict,confusion,disconnection,distraction,insomnia,irritability,lack of concentration,lethargy,mood swings,negativity,stress","analgesic,anti-inflammatory,antibacterial,antifungal,antiseptic,cooling,diminishes stress,regenerating,restorative,uplifting","acne-prone skin,burns,dermatitis,dull skin,oily skin,reactive skin,scars,wounds; scratches",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,☠️ Spearmint EO / 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Medium-strength with some cumulative toxicity,,,Not photosensitizing,,,,
Spectrastat G2-N,Caprylhydroxamic acid (and) Glyceryl Caprylate (and) Glycerin,,,,Preservative,Additive,Accepted,,Broad spectrum,,,,,,,Clear,Liquid,,,,,,,,"Spectrastat G2-N is a broadspectrum preservative for natural personal care (hair and skin care) and is the only (till now) natural preservative with a performance that is not pH-dependant.

This is lipophilic (oil soluble) preservative. Spectrastat G2-N has no impact on the colour and scent of the final product. If you're making products with a pH lower than 5 or higher than 5,5 (baby care, pet care, suncare, hair conditioner, hair rinse, etc.) this is the ideal preservative for your product.

It is not compatible with iron containing ingredients such as most clays. 
Dosage: 0,8-1,2%. Add this preservative during the cool down phase

This is one of the rare preservatives compatible with Emulsense HC",,,,,,,,,,Oil,,,,,,,,,is the only (till now) natural preservative with a performance that is not pH-dependant,0.8 - 1.2%,❌,"Add this preservative during the cool down phase. 
It is not compatible with iron containing ingredients such as most clays. ",,It is not compatible with iron containing ingredients such as most clays. ,,,,,,,,,,,,,https://shop.skinchakra.eu/en/Cosmetic-Lab/Preservatives/Spectrastat-G2-N.html?listtype=search&searchparam=Spectrastat%20G2-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spikenard EO,Nardostachys jatamansi,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,roots,steam distilled,,Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,Not to be used during pregnancy and lactation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Spirulina,Spirulina maxima extract,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,Dark green,Solid,Poudre fine (lyophilisée et micronisée) verte foncée.,,,,,,,"Actif cosmétique nutritif, anti-âge et fortifiant capillaire

La Spiruline est une algue bleue microscopique naturellement riche en acides aminés, en protéines et en vitamines. Ces nombreux nutriments la rendent intéressante dans les soins de la peau pour freiner l'apparition des rides. Sa teneur en vitamines A et E lui permet d'être utilisée dans les préparations pour peaux matures et pour lutter contre les signes du vieillissement cutané.
C'est un ingrédient très apprécié dans les spas et les instituts pour réaliser des masques et des enveloppements marins

La Spiruline est une algue bleue de la famille de Cyanophycées. Elle se présente sous la forme d'un filament spiralé et se développe naturellement dans les eaux tropicales ou subtropicales.

BEAUTÉ
PROPRIÉTÉS
Sa richesse en nutriments et notamment en protéines lui offre des propriétés revitalisantes, fortifiantes et nutritives exceptionnelles.
Améliore la souplesse et l'élasticité de la peau.
Participe à la prévention de l'apparition des rides.
Apporte une teinte vert bleuté très sympa à vos cosmétiques (utiliser à faible dose dans les produits non rincés car elle va colorer).
UTILISATIONS
S'utilise en tant qu'ingrédient dans vos préparations :

Soins anti-âge à connotation marine : crèmes, gels.
Préparation de produits de soins spa et thalasso : masques visage, enveloppements corporels
Soins réparateurs et fortifiants pour la kératine des cheveux, des ongles et des cils
QUELQUES IDÉES
Cataplasme et enveloppement marins
Soin revitalisant pour le corps
Masque reminéralisant du visage","La culture de la Spiruline que nous vous proposons suit des procédés 100 % naturels (soleil, culture en bassins fermés ventilés sous le contrôle de microbiologistes expérimentés, dans une eau de qualité contrôlée). Après filtration de l'eau, la Spiruline est lavée, séchée et micronisée.

- Protéines : plus de 70 % de sa matière sèche
- Vitamines A et E : au fort pouvoir antioxydant",,,,,anti-aging,"mature skin,thin hair",,checked,Water,,,,,,,,,,1 - 30%,❌,,,,,room temperature,,,,,,,,,,"Spirulina-honey-face-mask-sharing.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/xlifHl7Zbmm6OcKx7P6dMQ/hyKIEpM6J0B3pJPBtQaQTQY_2fCCsvno7UmOiVylsVACCDmFM1HERJySP5zn6NiWa79Wcy0obV8yxJO9kvixLWRAQVKFyK6cuNrGCFN5HeThv-TbrnbLZtsXZoDaHfPZ/lfrbRKkOSn199Fc4_2Jug-CAuLc9cLu-CisYPsfFJbI),Spirulina.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/RxL0EKQ5QoP4glhEWp3G6w/2fMPo_vOBfXqKD476YD1Fp-o0K_jec8PkCn4ULCNimhzGKIAtN7iTLbimsIh1Vg6yfUVfyQ91f01rFvjMKWnjb8n9vNycxNryly3ArH1t6I/QthjP-DtmZzn6SptKRcdkrCUWyrZvKqU8wEu9QUvmeI)",https://www.aroma-zone.com/info/fiche-technique/actif-marin-spiruline-aroma-zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spruce (Black) EO,Picea mariana,,,,Essential oil / CO2 / Absolute,Aromaceutical,Accepted,,,,,needles,steam distilled,"Camphoraceous,Woody","Top,Middle",,,,,,,,,,,,,,,"apathy,burnout,depression,discouragement,fatigue,indecision,low self-confidence,low self-esteem,procrastination",antifungal,"acne-prone skin,dry skin,dull skin",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,http://jeanne-blog.com/black-spruce-profile-hydrosol/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mild with no chronic cumulative toxicity,Mild,Moderate,Not photosensitizing,,,,
Squalane (Olive),Squalane,,,,Vegetable oil,Foundation,Accepted,,,,,,,Odorless,,Clear,,,43-47,light-medium,0.81,,,,"Squalene is found naturally in the sebum of human skin and is believed to lubricate and protect skin. Squalane, its hydrogenated cousin, is widely used as a conditioner, emollient and carrier oil in cosmetic formulations. It is easy to emulsify, chemically inert, but soluble in most cosmetic oils including cyclomethicone. It is an elegant emollient with exceptional spreading properties and skin absorption that can be used in emulsions, balms, facial serums and massage oils, or as a carrier for essential oils.
(Lotion Crafter)

Squalane is a stable derivative of squalene , a natural component of human sebum . Squalene is also the predominant compound in the famous ""unsaponifiable"" fraction, which contributes significantly to the cosmetic virtues of olive oil .

Due to its biomimetic structure (similar to lipids constituting the natural lipid film of the skin), squalane has an excellent affinity with the skin and plays the role of a natural emollient .

It has a silky touch very thin, non-greasy and penetrates the skin very easily. Squalane strengthens the cutaneous lipid barrier , softens and softens the skin and protects it from dehydration. (Aroma-zone)
-------
Squalane is a saturated form of squalene in which the double bonds have been eliminated by hydrogenation. Squalane is less susceptible to oxidation than squalene. 
(...) An added boon of squalane is that even though it is technically oil, it does not have an oily feel, is odorless, noncomedonal, antibacterial, and is safe for sensitive skin.[11] Besides its emollient action, it is also used in treating skin disorders such as seborrheic dermatitis, acne, psoriasis, or atopic dermatitis. (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4885180/)
-------
The Cosmetic Ingredient Review Expert Panel noted that studies indicated that squalene was slowly absorbed through the skin. (The importance and perspective of plant-based squalene in cosmetology. K Wołosik, M Knaś, A Zalewska, M Niczyporuk, AW Przystupa. Journal of cosmetic science 64 - https://pdfs.semanticscholar.org/b0ee/797e3c67867d6e7544af443eebdf49474d7c.pdf)",,"Good absorption,Good spreading,Non-greasy,Silky feel,Stable to oxidation","fixative,optimal dispersion of pigments,penetration enhancer",,,"anti-oxidant,emollient,hair protection,hair repair,helps maintain hair hydration,hydrating,improves hair strength,improves skin elasticity,moisturizing,prevents dehydration,reduces wrinkles,retains moisture,skin protection","acne-prone skin,atopic dermatitis,colored hair,dehydrated skin,dry hair,dry skin,mature skin,premature aging,psoriasis,seborrheic dermatitis,split ends repair",,,,,,Fast,,,,,,,"2 - 31%, up to 100% (Lotion Crafter); 5 TO 70% - 5 to 15% in creams and balms, 30 to 70% in ""dry"" oils (Aroma-zone)",❌,"Vegetable Squalane is insoluble in water and will not be able to dissolve in an aqueous product, however, in a gel of sufficiently viscous consistency, it will be possible to introduce, at the end of the formulation, up to 5% of Squalane vegetal dispersion (possibly stirring the product before use if Squalane separates). ",,,,,,,,,,,,,squalane.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/3DXP2wmbPpI7ibxFWKku_A/6d9HdCZ4pQqy5YBszLpDh-Cvk1wCJgG-pjbA1Q8dG21oFXDoLb_Er-i63y4wRKBU_HVtbnpPo3hH8FjgxlAXzstzgj0p_vEq78op_8G6qfQ/212QhKLLbLMrDGCb7yPPFrmFYGsorcOekkZ1STs8hcE),Squalane (Olive).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/TFF1tuEKIf7U9cifPqw0Mg/rV7pjZvaqDGUnuEDJXNIb_P9fcylm_6X-DJPD42OxtY24VZeRknhSttKrl4cZ_szs_9ugb_q8BnM1LhgMQaYlzctdiet9u0EOuPkyiwbE4tMPUmbeXYAe5j1FrJqCkS9o1N-LQNeC3sZdx5UfAwNWQ/blH-8zbM-cqMP3ZheX-zQ5pqrGxMSWO1AOp8926xl7c),,,,☠️ Squalane (Olive) / 224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,,,,,,,,,
Stearic Acid,Stearic Acid,,,,Thickener / Stabiliser,Functional,Accepted,,,,,,,,,,,,54C,,,,,,"APPLICATIONS

stabilizing / thickening emulsions
firmer lotion bars
hardening soaps

Stearic Acid is triple pressed, Kosher and Food Grade, the fatty acids from vegetable source is an excellent thickener and emulsion stabilizer for lotions and creams where Stearic Acid also improves the silkiness and glide of emulsions. Stearic Acid also makes an effective additive to improve the stiffness in stick products, soy candles, and the like. Often Stearic Acid is used to harden soaps, when neutralized Stearic Acid forms an in-situ soap (Sodium Stearate) which can be used as an emulsifier or cleansing agent.

We use it to thicken and harden our products when we want thickening and hardening, but we don’t want waxiness. Because stearic acid is an isolated fatty acid it thickens without adding the tack or brittle stiffness that wax can contribute.

Stearic acid is a naturally saturated occurring fatty acid that’s found in many oils we love. You’ll find it in relatively high percentages in hard oils and butters like cocoa butter (24–37% stearic acid), shea butter (20–50% stearic acid), and tallow (14% stearic acid)—it’s a big part of what makes them hard oils!

Stearic acid melts at 69.3°C (156.7°F) (that’s a higher melting point than beeswax!), making it a very effective hardening ingredient that raises the melting points of our products without adding any waxiness. It can be sourced from animal or plant sources, or synthesized, so if the origins of your ingredients are important to you, be sure to ask your supplier. You’ll also find derivatives of stearic acid in many other ingredients, like magnesium stearate and stearyl alcohol, and find it on ingredient lists for many different products—everything from soap to lotion to cosmetics. It creates a hard bar of soap with stable, creamy lather, contributes to stable emulsions, thickens and hardens concoctions, and adds occlusiveness. It’s pretty darn useful! It’s also very shelf stable and inexpensive.",,,,,,,,,,Oil,,,,,,,,,,2 - 3%,❌,Added to the oil phase.,,,,,,,,,,,,,,,http://www.humblebeeandme.com/quick-guide-stearic-acid-liquid-oil-ratios/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucragel AOF Bio,"Glycerine*, Prunus amygdalus dulcis (Sweet Almond) oil*, Sucrose Laurate, Citrus aurantium dulcis (Orange) fruit water*. *Organically produced ingredients. From 94% organic ingredients.",,,,Surfactant,Functional,Accepted,,,Cold-process emulsifier,,,,,,"Clear,Light yellow",Liquid,,,,,,,,"A clear, yellow liquid with a slight aroma. 100% vegetable origin combining non palm-derived organic glycerin sourced from the nut oil of the Karanja tree, sweet almond oil, water from organic oranges and sugar esters. All plant sources are non GMO and it is PEG free. Readily biodegradable.

It makes oil in water (O/W) emulsions as an emulsifier but also thickens oils to give a thick gel texture.

Although this emulsifier contains water, it does not need a preservative in this state as the ratio of water to glycerine keeps the product protected.","Ingredients ratio of Sucragel AOF Bio:
Glycerin 50 - 60% 
Prunus Amygdalus Dulcis (Sweet Almond) Oil 25 - 35% 
Sucrose Laurate 5 - 8% 
Citrus Aurantium Dulcis (Orange) Fruit Water 1 - 5% ",,,,,,,,,,,,,,,,,,4.0-8.0,,❌,"When it is used with fats only, it still does not need a preservative.

As soon as you add water though, you need to include a preservative.

It is sensitive to pH extremes and is stable between pH4 to pH8.

Skin Care
A gelée made with Sucragel AOF Bio gives continual skin hydration for up to 8 hours after it has been applied.

Glycerine is an excellent humectant that helps to keep the skin hydrated. As Sucragel AOF Bio contains up to at least 50% glycerine, you don’t need to add any more glycerine to your formulations. By using 6% of the emulsifier, you will have 3% glycerine in your cream already.

Excellent to make rinse off cleansers and makeup removers.

Safe for sensitive skin and baby products.

Makes bath oils that emulsify into “bath blooms”.

Hair Care
It is not cationic so has very little use in hair care products.

Other
Use 6% to 99%.

Water soluble but will hold and thicken oils in an oil only blend.

Bath Bloom 99% Sucragel AOF Bio to 1% essential oils.

Bath Serum 15% Sucragel AOF Bio to 85% mixed oils and essential oils.

Gel Scrub 25% Sucragel AOF Bio to 70% mixed oils and essential oils plus 5% exfoliant.

If using solid fats or butters, melt first and combine with other heat tolerant oils before combining with the Sucragel AOF Bio. Heat safe up to 80°C. Use a double boiler and do not heat higher than this as it will damage the sugar in the emulsifier.

Do not combine with salts as an exfoliant as this will cause the emulsifier to separate.

Finished products made with Sucragel AOF Bio should be kept above pH 4.5 and below pH 8 or to ensure the emulsion remains stable.

To make an oily gelée, stir the Sucragel AOF Bio so that it starts to go slightly opaque.
Combine ALL of the fat/oil ingredients and mix together to be consistent. A typical ratio would be 25% Sucragel AOF Bio to 75% mixed oils.

Add a small amount to the Sucragel AOF Bio whilst stirring quickly. The mixed oils will be absorbed into the emulsifier like a sponge. An electric mixer with a spiral dough hook is excellent for this. We have found that a stick blender is too fast.

Continue to add small amounts of oil and stir in until all ingredients are absorbed. The gelée should thicken more after every oil addition.

The higher the ratio of the Sucragel AOF that is used, the thinner the resulting oily gelée will be.

To make a cream texture, water needs to be added. When the oily gelée is mixed with water, it emulsifies immediately into a very thin, runny milk. It loses all texture. Therefore, to get texture in a cream, you need to add thickened water (a gel) to the oily gelée. The resulting cream will be a little looser than the thickness of the water gel you added.

Suggested Blends
Excellent for using heat sensitive oils like Kiwi Seed and Rosehip Seed Oil  that cannot normally be emulsified by using heated methods.

Basic Oil Gelée
Stage 1: (room temperature)
75% Vegetable Oils of your choice

Stage 2: (room temperature)
25% Sucragel AOF Bio
100% Total

Method:
Combine all Stage 1 (fat stage) materials together.

Start stirring the Sucragel AOF Bio with a spatula until it goes slightly opaque.

Add a small amount of the Stage 1 oil blend and stir into the Sucragel AOF Bio until it is fully absorbed.

Keep adding more oil a little at a time. Do not add a large amount in one go. It must be fully incorporated after each addition by stirring.

When all ingredients are fully incorporated, jar and label.",,,,,,,,,,,"Do not combine with salts as an exfoliant as this will cause the emulsifier to separate.

It is not cationic so has very little use in hair care products.",,,,https://www.aromantic.co.uk/home/products/emulsifiers/sucragel-aof-bio-(organic-ingredients).aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucrose cocoate,Sucrose cocoate,,,,Surfactant,Functional,Accepted,,,"Surfactant,Co-surfactant,Co-emulsifier",Non-ionic,,,,,,Semi-solid,High viscosity paste,,,,,,,"Sucrose Cocoate is a mild, natural nonionic surfactant produced from sugar and coconut oil. It belongs to the family of sucrose esters which are mild surfactants, co-surfactants and coemulsifiers.
Because of its excellent mildness, skin feel and refatting it could be applied in almost all leave-on and rinse-off products. It has foam stabilizing, skin conditioning and antistatic properties.",Produced from sugar and coconut oil.,,,,,,,"Shampoo,Cleansers,Cleansing milks,Shower gel,Conditioner,Makeup remover,Baby/children care,Skin care,Hair care",,Water,,,,,,,,,,Cleansing formulations: 0.5-3.0% ; emulsions: 2-4% (Skin Chakra),❌,Sucrose Cocoate is delivered as a high viscosity paste with ca. 65% active matter. It should be first dispersed in water at ca 65-70 degrees Celsius before imparting into a given formulation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65%,,,,,,,,,
Sucrose stearate,Sucrose stearate,,,,Surfactant,Functional,Accepted,,,Emulsifier,,,,,,White,Solid,,,,,,,,"Sucrose stearate is a very versatile natural emulsifier for a broad range of O/W emulsions. It could be applied in cold process, in warm process or in cold-warm process as a stand-alone emulsifier or blended (1-1.5%) with other emulsifiers to enhance stability and skin feel. It creates smooth and silky emulsions with no soapiness or greasiness.",,"No soaping effect,Non-greasy,Silky feel,""Smooth, satin-like feeling to the skin""","enhances skin feel,enhances stability",,,,,Oil-in-water emulsions,,"Water,Oil",,,,,,,,,,18-20% (of oil phase),❌,"You can add Sucrose stearate into the water phase, into the oil phase or in a one pot process (blending oil and water phase from the very beginning). Adding sucrose stearate to the water phase creates emulsions with slightly higher viscosities compared to emulsions where sucrose stearate is added to the oil phase.
We recommend applying an emulsion stabilizer such as xanthan, sclerotium, acacia, konjak or LBG.
(Skin Chakra)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil-in-water,,
Sunflower Oil,Helianthus Annuus (Sunflower) Seed Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,118,118 - 145,,,,,✅,,,,,,,,,,,,,,,Sunflower Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/SCrOAdy2QGDOJSqjfGxBIg/sxowhFVpQlEPJwhcK-_xtnEmWflh6T1vpA52e92-QGrw6D0tciEUokrQ6L5Q2F1Y8rJmYb386w46Lu4eBoFnqxhi0utPHdv1YFoal_NyIxcOIUQXAz6-MmC1O82vj5yUK_yKYN76Jel4vQGfGCDm_A/pehLWgAffX9-wEH95BanjZcatzmmXW9PKxLQI9dMv9c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linoleic Acid,,,,,,,,,Nondrying,,,
Sweet Almond Oil,Prunus Amygdalus Dulcis (Sweet Almond) Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,"Delicate,None",,"Pale yellow,Clear",,,,heavy-medium,,,,,,,"Non-penetrating,Light texture",,,,"anti-dandruff,calming; soothing,conditioning,prevents wrinkles,removes impurities and dead skin,retains moisture,emollient,reduces inflammation,reduces wrinkles,relieves dry skin,relieves itchy skin,revitalising,skin nourishing","burns,dry skin,hair - dandruff,hair loss,inflammation,itching,split ends repair,sunburn,mature skin,sensitive skin,wrinkles",,,,,,Average,105,93,93 - 105,,,,,✅,,,,1 year,,,,,,,,,,,Almond Oil.png (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/GBuVA35td59cUEkQCl6E8g/Ky_865FYBgaQJ86AroYbAFnezsF1PCVnpygKYHez7OR6OhtGun1deoZPChp3qHz5LjB1Kq0dfLrDcL6S9nYklnwA6XR65xUrQcAeWrD-P_wJGgWN4pLMgAP98493XnJuzZW_gvW4Zhn4kqrUK9O8iRL6nHC-1gk_pambBFrOlCOAyduwaTSmpsOyXBrjD7pIgXZqhIrFGCdfI2xjJ_hVGQ/3alKSDiBjMRlwLH_aDzklJMvNSrL6va-l5osT0MsOug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oleic Acid,,,,,,,,,Nondrying,,,
